"Points:0","Points:1","Points:2","pressure","total_pressure","velocity_magnitude","x_velocity","y_velocity","z_velocity"
-0.70612,-0.36053,1.0866,-0.61269,692.04,0,0,0,0
-0.70612,-0.35877,1.0848,-0.756,689.37,0,0,0,0
-0.70585,-0.35718,1.0905,12.667,702.75,0,0,0,0
-0.70583,-0.34747,1.0811,18.325,687.34,0,0,0,0
-0.7057,-0.34472,1.0815,29.231,686.99,0,0,0,0
-0.70572,-0.34196,1.0785,27.722,684.03,0,0,0,0
-0.70645,-0.36643,1.0835,-14.738,677.09,0,0,0,0
-0.70657,-0.36769,1.0817,-19.053,671.13,0,0,0,0
-0.70637,-0.36415,1.0835,-11.04,680.97,0,0,0,0
-0.70665,-0.36988,1.0817,-21.894,667.57,0,0,0,0
-0.70677,-0.37095,1.0793,-25.826,662.07,0,0,0,0
-0.70553,-0.34316,1.0844,41.538,689.54,0,0,0,0
-0.70546,-0.34433,1.0872,46.097,695.49,0,0,0,0
-0.70552,-0.34682,1.0882,39.9,699.69,0,0,0,0
-0.70558,-0.33897,1.0793,38.94,683.18,0,0,0,0
-0.70543,-0.33812,1.0822,49.732,682.97,0,0,0,0
-0.7054,-0.33992,1.0845,50.857,686.36,0,0,0,0
-0.70557,-0.33667,1.0774,39.954,683.83,0,0,0,0
-0.70781,-0.35965,1.0415,-81.661,583.24,0,0,0,0
-0.7077,-0.35697,1.0417,-78.686,585.23,0,0,0,0
-0.70735,-0.38152,1.074,-43.294,637.82,0,0,0,0
-0.70774,-0.35593,1.0397,-83.939,578.02,0,0,0,0
-0.70767,-0.35371,1.0395,-82.815,578.17,0,0,0,0
-0.70756,-0.35223,1.041,-75.931,584.99,0,0,0,0
-0.70752,-0.35018,1.0401,-77.7,582.22,0,0,0,0
-0.70745,-0.34891,1.0406,-73.942,585.7,0,0,0,0
-0.70736,-0.34799,1.0424,-67.092,592.98,0,0,0,0
-0.70813,-0.36891,1.0414,-86.917,578.19,0,0,0,0
-0.7081,-0.36696,1.0403,-88.93,576.36,0,0,0,0
-0.70798,-0.36436,1.0413,-86.301,579.31,0,0,0,0
-0.7083,-0.374,1.0415,-88.931,574.5,0,0,0,0
-0.7083,-0.37208,1.0397,-92.661,570.57,0,0,0,0
-0.70825,-0.37059,1.0397,-92.293,571.74,0,0,0,0
-0.70802,-0.36324,1.039,-91.761,573.75,0,0,0,0
-0.708,-0.36191,1.0385,-93.901,571.08,0,0,0,0
-0.70792,-0.3603,1.0392,-89.408,574.57,0,0,0,0
-0.70851,-0.37868,1.04,-93.476,567.09,0,0,0,0
-0.70845,-0.37636,1.0395,-93.458,568.01,0,0,0,0
-0.70712,-0.34405,1.0449,-55.463,605.46,0,0,0,0
-0.707,-0.34197,1.0459,-49.871,610.3,0,0,0,0
-0.70728,-0.34519,1.0417,-67.393,592,0,0,0,0
-0.70721,-0.34412,1.0424,-62.295,596.68,0,0,0,0
-0.70623,-0.36305,1.0862,-5.8205,687.75,0,0,0,0
-0.7067,-0.37227,1.0827,-22.942,666.32,0,0,0,0
-0.70679,-0.37378,1.0816,-25.548,662.36,0,0,0,0
-0.70683,-0.37392,1.0807,-27.879,659.05,0,0,0,0
-0.70683,-0.37249,1.0791,-28.274,658.71,0,0,0,0
-0.70664,-0.37044,1.0824,-21.018,669.06,0,0,0,0
-0.70694,-0.37613,1.0799,-30.796,654.85,0,0,0,0
-0.70669,-0.33503,1.0476,-35.193,615.65,0,0,0,0
-0.70681,-0.33756,1.0469,-39.945,615.08,0,0,0,0
